Année,Nom,Total,COMM,ART,COUV,DOUV,OUV,THESE,HDR
2019,LIX,185,76,86,9,4,0,9,1
2020,LIX,176,77,72,12,0,1,13,1
2016,LORIA,492,269,150,28,13,3,24,5
2017,LORIA,511,310,126,19,19,3,31,3
2018,LORIA,523,314,130,26,16,5,28,4
2019,LORIA,533,306,144,26,15,3,35,4
2020,LORIA,516,268,166,28,16,3,34,1
2016,LS2N,628,300,234,29,9,2,47,7
2017,LS2N,666,340,206,55,11,8,38,8
2018,LS2N,702,375,231,42,13,3,37,1
2019,LS2N,612,319,213,38,9,4,28,1
2020,LS2N,526,224,211,41,11,7,26,6
2016,LSV,75,40,24,1,3,1,6,0
2017,LSV,73,43,19,2,1,1,6,1
2018,LSV,77,45,21,5,0,0,6,0
2019,LSV,69,46,18,0,1,0,4,0
2020,LSV,60,30,18,6,0,1,5,0
2016,MDLS,30,4,26,0,0,0,0,0
2017,MDLS,40,13,25,0,0,0,2,0
2018,MDLS,40,14,25,0,0,0,1,0
2019,MDLS,30,8,20,0,0,0,2,0
2020,MDLS,27,1,21,1,0,0,4,0
2016,STMS,172,83,53,18,2,2,13,1
2017,STMS,166,95,43,12,6,4,4,2
2018,STMS,153,69,45,24,5,3,6,1
2019,STMS,158,86,44,18,3,4,3,0
2020,STMS,125,53,48,12,3,4,5,0
2016,TIMA,165,116,31,2,1,0,15,0
2017,TIMA,118,78,20,4,0,2,14,0
2018,TIMA,109,66,32,2,1,0,7,1
2019,TIMA,126,86,23,3,0,4,9,1
2020,TIMA,71,49,15,2,0,1,4,0
2016,TIMC IMAG,297,44,225,4,0,0,24,0
2017,TIMC IMAG,266,41,191,9,0,1,23,1
2018,TIMC IMAG,286,42,227,4,0,2,11,0
2019,TIMC IMAG,209,32,154,9,2,1,11,0
2020,TIMC IMAG,170,18,136,5,0,0,11,0
2016,VERIMAG,65,40,14,3,0,0,7,1
2017,VERIMAG,50,27,11,0,1,0,11,0
2018,VERIMAG,60,32,13,2,1,2,10,0
2019,VERIMAG,50,25,11,5,0,3,6,0
2020,VERIMAG,37,22,7,2,0,0,5,1
