,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
25,2-s2.0-85102615328,10.1109/DICTA51227.2020.9363368,,,Contour Detection of Multiple Moving Objects in Unconstrained Scenes using Optical Strain,cp,Conference Paper,Oliver-Parera M.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-11-29,29 November 2020,"2020 Digital Image Computing: Techniques and Applications, DICTA 2020",,21101039897,,Conference Proceeding,,,9363368,,,,0,0,repositoryam,Green,,,
26,2-s2.0-85087835709,10.1002/rnc.5123,,,Self-triggered stabilizing controllers for linear continuous-time systems,ar,Article,Zobiri F.,,KU Leuven;EnergyVille,3000 Leuven;Genk,Belgium;Belgium,,,,,2020-11-10,10 November 2020,International Journal of Robust and Nonlinear Control,10498923,17987,10991239,Journal,30,16,,6502-6517,,,3,0,repositoryam,Green,,,
27,2-s2.0-85086452717,10.1016/j.jde.2020.06.007,S0022039620303211,,L<sup>p</sup>-asymptotic stability analysis of a 1D wave equation with a nonlinear damping,ar,Article,Chitour Y.,,Laboratoire des Signaux et Systèmes,Gif-sur-Yvette,France,,,,,2020-11-05,5 November 2020,Journal of Differential Equations,00220396,23874,10902732,Journal,269,10,,8107-8131,,,9,1,repositoryam,Green,,,
28,2-s2.0-85086148871,10.1016/j.tcs.2020.06.006,S030439752030342X,,Edge degeneracy: Algorithmic and structural results,ar,Article,Limnios S.,,Laboratoire d'Informatique de l'Ecole Polytechnique,Palaiseau,France,,,,,2020-11-02,2 November 2020,Theoretical Computer Science,03043975,20571,,Journal,839,,,164-175,,,1,1,repositoryam,Green,,,
29,2-s2.0-85105176172,10.3390/en13215764,,,Reduced-scale models of variable speed hydro-electric plants for power hardware-in-the-loop real-time simulations,ar,Article,Guo B.,,Universite Grenoble Alpes;University of Applied Sciences Western Switzerland,Saint Martin d'Heres;Delemont,France;Switzerland,,,,,2020-11-01,1 November 2020,Energies,,62932,19961073,Journal,13,21,5764,,,,4,1,publisherfullgold,Gold,,,
30,2-s2.0-85097200593,10.1515/dialect-2020-0002,,,Designation and representation of topographic elements in the dialects of France: Land elevation,ar,Article,Giudice P.D.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-11-01,1 November 2020,Dialectologia et Geolinguistica,09424040,5800207734,18670903,Journal,28,1,,55-80,,,0,0,,,,,
31,2-s2.0-85096976167,10.1121/10.0002447,,33261405,Surface perturbation inverted from angle variations of eigenbeams in an ultrasonic waveguide,ar,Article,Van Baarsel T.,,Université de Bordeaux,Bordeaux,France,,,,,2020-11-01,1 November 2020,Journal of the Acoustical Society of America,00014966,12936,15208524,Journal,148,5,,2841-2850,,,0,0,repositoryvor,Green,,,
32,2-s2.0-85095821532,10.3390/s20216385,,33182331,A new method of secure authentication based on electromagnetic signatures of chipless rfid tags and machine learning approaches,ar,Article,Nastasiu D.,,Academia Tehnica Militara,Bucharest,Romania,,,,,2020-11-01,1 November 2020,Sensors (Switzerland),14248220,130124,,Journal,20,21,6385,1-18,,,0,1,repositoryvor,Green,,,
33,2-s2.0-85095750543,10.1109/LGRS.2019.2958203,,,Spectral Unmixing: A Derivation of the Extended Linear Mixing Model from the Hapke Model,ar,Article,Drumetz L.,,"Laboratoire des Sciences et Techniques de l'Information, de la Communication et de la Connaissance (Lab-Sticc)",Brest,France,,,,,2020-11-01,November 2020,IEEE Geoscience and Remote Sensing Letters,1545598X,17259,15580571,Journal,17,11,8936868,1866-1870,,,8,0,repositoryam,Green,,,
34,2-s2.0-85095711925,10.1109/TAC.2019.2960272,,,Singular Perturbation Analysis of a Coupled System Involving the Wave Equation,ar,Article,Cerpa E.,,Universidad Técnica Federico Santa María,Valparaíso,Chile,,,,,2020-11-01,November 2020,IEEE Transactions on Automatic Control,00189286,17339,15582523,Journal,65,11,8935378,4846-4853,,,3,0,repositoryam,Green,,,
35,2-s2.0-85095701828,10.3390/app10217792,,,Non-linear spectral unmixing for the estimation of the distribution of graphene oxide deposition on 3d printed composites,ar,Article,Licciardi G.,,Grenoble Images Parole Signal Automatique,Saint Martin d'Heres,France,,,,,2020-11-01,1 November 2020,Applied Sciences (Switzerland),,21100829268,20763417,Journal,10,21,7792,1-13,,,0,1,publisherfullgold,Gold,,,
36,2-s2.0-85094201674,10.1109/TCST.2019.2937931,,,Robust Energy Management System for Multi-Source DC Energy Systems-Real-Time Setup and Validation,ar,Article,Nwesaty J.M.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-11-01,November 2020,IEEE Transactions on Control Systems Technology,10636536,17342,15580865,Journal,28,6,8836605,2591-2599,,,0,0,repositoryam,Green,,,
37,2-s2.0-85090863530,10.1016/j.specom.2020.07.004,S0167639320302454,,The Fharvard corpus: A phonemically-balanced French sentence resource for audiology and intelligibility research,ar,Article,Aubanel V.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-11-01,November 2020,Speech Communication,01676393,23671,,Journal,124,,,68-74,,,1,1,repositoryam,Green,,,
38,2-s2.0-85088913781,10.1016/j.ress.2020.107054,S095183202030555X,,"Virtual age models with time-dependent covariates: A framework for simulation, parametric inference and quality of estimation",ar,Article,Brenière L.,,Laboratoire Jean Kuntzmann (LJK);Universite Grenoble Alpes,Saint Martin d'Heres;Saint Martin d'Heres,France;France,,,,,2020-11-01,November 2020,Reliability Engineering and System Safety,09518320,13853,,Journal,203,,107054,,,,7,1,repositoryam,Green,,,
39,2-s2.0-85086943517,10.1016/j.renene.2020.05.152,S0960148120308570,,Generic modeling and speed control approach of hydraulic power plants: Start-up operating mode,ar,Article,Mohamed A.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-11-01,November 2020,Renewable Energy,09601481,27569,18790682,Journal,160,,,1-15,,,4,0,,,,,
40,2-s2.0-85084822826,10.1007/s11760-020-01694-4,,,Bit-depth quantization and reconstruction error in digital images,ar,Article,Stanković I.,,Grenoble Images Parole Signal Automatique;University of Montenegro,Saint Martin d'Heres;Podgorica,France;Montenegro,,,,,2020-11-01,1 November 2020,"Signal, Image and Video Processing",18631703,6200180165,18631711,Journal,14,8,,1545-1553,,,2,0,,,,,
41,2-s2.0-85067668249,10.1080/00207179.2019.1628296,,,A new approach to design set-membership state estimators for discrete-time linear systems based on the observability matrix,ar,Article,Meslem N.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-11-01,1 November 2020,International Journal of Control,00207179,12342,13665820,Journal,93,11,,2541-2550,,,6,0,,,,,
42,2-s2.0-85067212510,10.1016/j.acha.2019.06.001,S1063520319301046,,New results on approximate Hilbert pairs of wavelet filters with common factors,ar,Article,Achard S.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-11-01,November 2020,Applied and Computational Harmonic Analysis,10635203,25150,1096603X,Journal,49,3,,1025-1045,,,1,1,repositoryam,Green,,,
43,2-s2.0-85102413595,10.1109/IROS45743.2020.9341542,,,Speed and Memory Efficient Dense RGB-D SLAM in Dynamic Scenes,cp,Conference Paper,Canovas B.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-10-24,24 October 2020,IEEE International Conference on Intelligent Robots and Systems,21530858,66854,21530866,Conference Proceeding,,,9341542,4996-5001,,,3,0,repositoryam,Green,,,
44,2-s2.0-85102408456,10.1109/IROS45743.2020.9340772,,,Inertial velocity estimation for indoor navigation through magnetic gradient-based EKF and LSTM learning model,cp,Conference Paper,Zmitri M.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-10-24,24 October 2020,IEEE International Conference on Intelligent Robots and Systems,21530858,66854,21530866,Conference Proceeding,,,9340772,4545-4550,,,1,0,repositoryam,Green,,,
45,2-s2.0-85097632177,10.1109/GPECOM49333.2020.9247892,,,Dc-link voltage stability-based control strategy for grid-connected hybrid ac/dc microgrid,cp,Conference Paper,Zafari A.,,Islamic Azad University,Tehran,Iran,,,,,2020-10-20,20 October 2020,"Proceedings - 2020 IEEE 2nd Global Power, Energy and Communication Conference, GPECOM 2020",,21101030389,,Conference Proceeding,,,9247892,268-273,,,3,0,,,,,
46,2-s2.0-85097596815,10.1109/GPECOM49333.2020.9248727,,,Fault Operating Condition of Modular Multilevel Converter-Based HVDC Using Lyapunov Method Compensators,cp,Conference Paper,Mehrasa M.,,Università degli Studi di Trieste,Trieste,Italy,,,,,2020-10-20,20 October 2020,"Proceedings - 2020 IEEE 2nd Global Power, Energy and Communication Conference, GPECOM 2020",,21101030389,,Conference Proceeding,,,9248727,262-267,,,0,0,,,,,
47,2-s2.0-85096958759,10.1145/3379337.3415893,,,GyroSuite: General-purpose interactions for handheld perspective corrected displays,cp,Conference Paper,Louis T.,,Grenoble Images Parole Signal Automatique,Saint Martin d'Heres,France,,,,,2020-10-20,20 October 2020,UIST 2020 - Proceedings of the 33rd Annual ACM Symposium on User Interface Software and Technology,,21101029460,,Conference Proceeding,,,3415893,1248-1260,,,1,0,repositoryvor,Green,,,
48,2-s2.0-85092717663,10.1080/13506285.2020.1830325,,,The bimodality of saccade duration during the exploration of visual scenes,ar,Article,Devillez H.,,Haskoli Islands;University of Colorado Boulder,Reykjavik;Boulder,Iceland;United States,,,,,2020-10-20,October 2020,Visual Cognition,13506285,15407,14640716,Journal,28,9,,484-512,,,1,0,,,,,
49,2-s2.0-85096034420,10.1137/19M125950X,,,Approximate matrix and tensor diagonalization by unitary transformations: Convergence of Jacobi-type algorithms,ar,Article,Usevich K.,,CRAN Centre de Recherche en Automatique de Nancy,Vandoeouvre-les-Nancy,France,,,,,2020-10-19,19 October 2020,SIAM Journal on Optimization,10526234,26422,,Journal,30,4,,2998-3028,,,0,0,repositoryam,Green,,,
50,2-s2.0-85093977477,10.3389/fmars.2020.575218,,,Hyperspectral and Lidar: Complementary Tools to Identify Benthic Features and Assess the Ecological Status of Sabellaria alveolata Reefs,ar,Article,Bajjouk T.,,Laboratoire d'Ecogéochimie des Environnements Benthiques,Banyuls-sur-Mer,France,,,,,2020-10-08,8 October 2020,Frontiers in Marine Science,,21100790929,22967745,Journal,7,,575218,,,,4,1,repositoryvor,Green,,,
51,2-s2.0-85104631950,10.1109/IEEECONF38699.2020.9389120,,,RANSAC Compressive Sensing Reconstruction in Noisy Wideband Underwater Sonar Imaging,cp,Conference Paper,Stankovic I.,,Universite Grenoble Alpes;University of Montenegro,Saint Martin d'Heres;Podgorica,France;Montenegro,,,,,2020-10-05,5 October 2020,2020 Global Oceans 2020: Singapore - U.S. Gulf Coast,,21101043261,,Conference Proceeding,,,9389120,,,,1,0,,,,,
52,2-s2.0-85093672720,10.3390/s20205904,,33086724,New approach of uav movement detection and characterization using advanced signal processing methods based on uwb sensing,ar,Article,Digulescu A.,,Universite Grenoble Alpes;Academia Tehnica Militara,Saint Martin d'Heres;Bucharest,France;Romania,,,,,2020-10-02,2 October 2020,Sensors (Switzerland),14248220,130124,,Journal,20,20,5904,1-18,,,3,1,repositoryvor,Green,,,
