,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
1002,2-s2.0-84957072983,10.1016/j.conengprac.2016.01.010,S0967066116300119,,On the limit cycle stabilization of a DC/DC three-cell converter,ar,Article,Benmiloud M.,,Université Amar Telidji Laghouat,Laghouat,Algeria,,,,,2016-04-01,"April 01, 2016",Control Engineering Practice,09670661,18174,,Journal,49,,,29-41,,,20,0,,,,,
1003,2-s2.0-84952684484,10.1016/j.neucom.2015.12.033,S0925231215019700,,Generalized LMI observer design for discrete-time nonlinear descriptor models,ar,Article,Estrada-Manzo V.,,Université Polytechnique Hauts-de-France,Valenciennes,France,,,,,2016-03-19,19 March 2016,Neurocomputing,09252312,24807,18728286,Journal,182,,,210-220,,,18,0,,,,,
1004,2-s2.0-84961226147,10.1021/acs.langmuir.5b04539,,,Experimental Droplet Study of Inverted Marangoni Effect of a Binary Liquid Mixture on a Nonuniform Heated Substrate,ar,Article,Ouenzerfi S.,,Université Polytechnique Hauts-de-France,Valenciennes,France,,,,,2016-03-15,15 March 2016,Langmuir,07437463,26987,15205827,Journal,32,10,,2378-2388,,,25,0,,,,,
1005,2-s2.0-84991802966,10.1115/1.4030469,,,"Uncertain friction-induced vibration study: Coupling of fuzzy logic, fuzzy sets, and interval theories",ar,Article,Massa F.,,Université Polytechnique Hauts-de-France,Valenciennes,France,,,,,2016-03-01,March 2016,"ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems, Part B: Mechanical Engineering",23329017,21100858472,23329025,Journal,2,1,011008,,,,16,0,,,,,
1006,2-s2.0-84979195438,10.1088/2051-672X/4/1/015003,,,Analysis of the effects of different machining processes on sealing using multiscale topography,ar,Article,Deltombe R.,,LAMIH,Valenciennes,France,,,,,2016-03-01,March 2016,Surface Topography: Metrology and Properties,,21100469364,2051672X,Journal,4,1,,,,,7,0,,,,,
1007,2-s2.0-84964403386,10.1109/TDMR.2016.2516044,,,Power Cycling Reliability of Power Module: A Survey,ar,Article,Durand C.,,Université Polytechnique Hauts-de-France,Valenciennes,France,,,,,2016-03-01,March 2016,IEEE Transactions on Device and Materials Reliability,15304388,26049,15582574,Journal,16,1,7377071,80-97,,,113,0,,,,,
1008,2-s2.0-84961815177,10.3390/e18030082,,,Hierarchical decomposition thermodynamic approach for the study of solar absorption refrigerator performance,ar,Article,Betouche E.B.,,Genie des Procédés - Environnement - Agro-Alimentaire,Saint-Nazaire,France,,,,,2016-03-01,1 March 2016,Entropy,,13715,10994300,Journal,18,3,82,,,,1,1,publisherfullgold,Gold,,,
1009,2-s2.0-84960345573,10.1016/j.gaitpost.2016.01.013,S096663621600014X,26979889,A new approach of the Star Excursion Balance Test to assess dynamic postural control in people complaining from chronic ankle instability,ar,Article,Pionnier R.,,Université Polytechnique Hauts-de-France;Centre Hospitalier de la Région de Saint-Omer,Valenciennes;Saint-Omer,France;France,,,,,2016-03-01,"March 01, 2016",Gait and Posture,09666362,28025,18792219,Journal,45,,,97-102,,,16,0,,,,,
1010,2-s2.0-84959040088,10.1016/j.jfranklin.2016.01.004,S0016003216000168,,A non-quadratic Lyapunov functional for H<inf>∞</inf> control of nonlinear systems via Takagi-Sugeno models,ar,Article,Márquez R.,,Université Polytechnique Hauts-de-France;Sonora Institute of Technology,Valenciennes;Ciudad Obregon,France;Mexico,,,,,2016-03-01,1 March 2016,Journal of the Franklin Institute,00160032,27959,,Journal,353,4,,781-796,,,39,0,,,,,
1011,2-s2.0-84958052767,10.1007/s00426-015-0653-1,,25702038,An enhanced experimental procedure to rationalize on the impairment of perception of action capabilities,ar,Article,Daviaux Y.,,Université de Nantes,Nantes,France,,,,,2016-03-01,1 March 2016,Psychological Research,03400727,13466,14302772,Journal,80,2,,224-234,,,6,0,,,,,
1012,2-s2.0-84953358201,10.1007/s10853-015-9599-3,,,Impact of natural variability of flax fibres properties on mechanical behaviour of short-flax-fibre-reinforced polypropylene,ar,Article,Notta-Cuvier D.,,LAMIH,Valenciennes,France,,,,,2016-03-01,1 March 2016,Journal of Materials Science,00222461,21162,15734803,Journal,51,6,,2911-2925,,,12,0,,,,,
1013,2-s2.0-84939638732,10.1109/TCST.2015.2460696,,,Binary Control Design for a Class of Bilinear Systems: Application to a Multilevel Power Converter,ar,Article,Hetel L.,,Ecole Centrale de Lille;Université Polytechnique Hauts-de-France,Villeneuve-d'Ascq;Valenciennes,France;France,,,,,2016-03-01,March 2016,IEEE Transactions on Control Systems Technology,10636536,17342,,Journal,24,2,7210158,719-726,,,13,0,,,,,
1014,2-s2.0-84964787369,10.1109/INTEE.2015.7416696,,,Adjustment of active contour parameters in Brain MRI segmentation using evolution strategies,cp,Conference Paper,Zohra B.F.,,University of Ain Témouchent Belhadj BOUCHAÏB,,Algeria,,,,,2016-02-23,23 February 2016,"2015 4th International Conference on Electrical Engineering, ICEE 2015",,21100456765,,Conference Proceeding,,,7416696,,,,4,0,,,,,
1015,2-s2.0-84964786198,10.1109/INTEE.2015.7416839,,,An efficient palmprint biometric system based on progressive image compression,cp,Conference Paper,Samai D.,,Université Kasdi Merbah - Ouargla,Ouargla,Algeria,,,,,2016-02-23,23 February 2016,"2015 4th International Conference on Electrical Engineering, ICEE 2015",,21100456765,,Conference Proceeding,,,7416839,,,,0,0,,,,,
1016,2-s2.0-84963728392,10.1109/RSP.2015.7416556,,,A multi-objective approach for software/hardware partitioning in a multi-target tracking system,cp,Conference Paper,Alouani I.,,LAMIH,Valenciennes,France,,,,,2016-02-23,23 February 2016,"Proceedings - IEEE International Symposium on Rapid System Prototyping, RSP",21505500,21100228514,21505519,Conference Proceeding,2016-February,,7416556,119-125,,,0,0,,,,,
1017,2-s2.0-84966781485,10.1016/B978-1-78242-461-1.00007-8,B9781782424611000078,,Measurements of dynamic properties of ballistic yarns using innovative testing devices,ch,Book Chapter,Chevalier C.,,French-German Research Institute,Saint-Louis,France,,,,,2016-02-12,"February 12, 2016",Advanced Fibrous Composite Materials for Ballistic Protection,,21100458155,,Book,,,,199-215,,,1,0,,,,,
1018,2-s2.0-84969820618,10.1109/IDT.2015.7396731,,,Heterogeneous multi-core architecture for a 4G communication in high-speed railway,cp,Conference Paper,Makni M.,,LAMIH,Valenciennes,France,,,,,2016-02-01,1 February 2016,"Proceeding of 2015 10th International Design and Test Symposium, IDT 2015",,21100463089,,Conference Proceeding,,,7396731,26-31,,,9,0,,,,,
1019,2-s2.0-84964585436,10.1016/j.hansur.2015.12.005,S2468122916000025,27117024,Medial collateral ligament healing after posttraumatic radial head arthroplasty: A retrospective study of 33 cases with a mean follow-up of 73 months,ar,Article,Wapler C.,,Université de Lille;CHU Lille,Lille;Lille,France;France,,,,,2016-02-01,1 February 2016,Hand Surgery and Rehabilitation,24681229,21100456711,24681210,Journal,35,1,,44-50,,,5,0,,,,,
1020,2-s2.0-84958153266,10.1007/s00231-015-1545-z,,,Effect of rotation speed on the temperature of starter alternator machine,ar,Article,Hassan H.,,LAMIH;Assiut University,Valenciennes;Assiut,France;Egypt,,,,,2016-02-01,1 February 2016,Heat and Mass Transfer/Waerme- und Stoffuebertragung,09477411,13749,14321181,Journal,52,2,,197-204,,,2,0,,,,,
1021,2-s2.0-84958059650,10.1007/s00266-015-0603-8,,26746882,"Characterization of Breast Implant Surfaces, Shapes, and Biomechanics: A Comparison of High Cohesive Anatomically Shaped Textured Silicone, Breast Implants from Three Different Manufacturers",ar,Article,Atlan M.,,Sorbonne Universite,Paris,France,,,,,2016-02-01,1 February 2016,Aesthetic Plastic Surgery,0364216X,20416,,Journal,40,1,,89-97,,,19,0,,,,,
