,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
24,2-s2.0-85092049750,10.1016/j.automatica.2020.109266,S0005109820304647,,Robust local stabilization of discrete time-varying delayed state systems under saturating actuators,ar,Article,Castro M.F.F.,,Centro Federal de Educacao Tecnologica de Minas Gerais,Belo Horizonte,Brazil,,,,,2020-12-01,December 2020,Automatica,00051098,24909,,Journal,122,,109266,,,,4,0,repositoryam,Green,,,
25,2-s2.0-85091961193,10.1016/j.automatica.2020.109280,S0005109820304799,,Error covariance bounds for suboptimal filters with Lipschitzian drift and Poisson-sampled measurements,ar,Article,Tanwani A.,,Université Fédérale Toulouse Midi-Pyrénées,Toulouse,France,,,,,2020-12-01,December 2020,Automatica,00051098,24909,,Journal,122,,109280,,,,3,1,repositoryam,Green,,,
26,2-s2.0-85091537566,10.1007/s10846-020-01250-9,,,Nonlinear Model Predictive Control with Enhanced Actuator Model for Multi-Rotor Aerial Vehicles with Generic Designs,ar,Article,Bicego D.,,Université Fédérale Toulouse Midi-Pyrénées;Universiteit Twente,Toulouse;Enschede,France;Netherlands,,,,,2020-12-01,December 2020,Journal of Intelligent and Robotic Systems: Theory and Applications,09210296,24360,15730409,Journal,100,3-4,,1213-1247,,,12,1,repositoryam,Green,,,
27,2-s2.0-85089921583,10.1016/j.automatica.2020.109228,S000510982030426X,,Linearization of expectation-based inequality conditions in control for discrete-time linear systems represented with random polytopes,ar,Article,Hosoe Y.,,Université Fédérale Toulouse Midi-Pyrénées;Kyoto University,Toulouse;Kyoto,France;Japan,,,,,2020-12-01,December 2020,Automatica,00051098,24909,,Journal,122,,109228,,,,0,0,repositoryam,Green,,,
28,2-s2.0-85087832724,10.1016/j.irbm.2020.06.012,S1959031820301160,,Time Slot Modeling of Life Habits in the Elderly for Decision-Making Support,ar,Article,Brulin D.,,Université Toulouse - Jean Jaurès,Toulouse,France,,,,,2020-12-01,December 2020,IRBM,19590318,12300154908,18760988,Journal,41,6,,295-303,,,0,0,repositoryam,Green,,,
29,2-s2.0-85087393853,10.1038/s41467-020-17173-w,,32620904,Collective dipole effects in ionic transport under electric fields,ar,Article,Salles N.,,DEMOCRITOS Modeling Center for Research in Atomistic Simulation;University of Nova Gorica,Trieste;Nova Gorica,Italy;Slovenia,,,,,2020-12-01,1 December 2020,Nature Communications,,19700182758,20411723,Journal,11,1,3330,,,,3,1,repositoryvor,Green,,,
30,2-s2.0-85086869775,10.1038/s41598-020-67309-7,,32591551,High Areal Capacity Porous Sn-Au Alloys with Long Cycle Life for Li-ion Microbatteries,ar,Article,Patnaik S.G.,,Université Fédérale Toulouse Midi-Pyrénées,Toulouse,France,,,,,2020-12-01,1 December 2020,Scientific Reports,,21100200805,20452322,Journal,10,1,10405,,,,4,1,repositoryvor,Green,,,
31,2-s2.0-85086460152,10.1016/j.sysarc.2020.101817,S1383762120301090,,Bridging the gap between formal verification and schedulability analysis: The case of robotics,ar,Article,Foughali M.,,Verimag,Saint Martin d'Heres,France,,,,,2020-12-01,December 2020,Journal of Systems Architecture,13837621,12398,,Journal,111,,101817,,,,5,1,repositoryam,Green,,,
32,2-s2.0-85082885757,10.1038/s41378-019-0125-7,,,Sliding walls: a new paradigm for fluidic actuation and protocol implementation in microfluidics,ar,Article,Venzac B.,,Université PSL;Laboratoire Physico-Chimie Curie;Sorbonne Universite,Paris;Paris;Paris,France;France;France,,,,,2020-12-01,1 December 2020,Microsystems and Nanoengineering,,21100884993,20557434,Journal,6,1,18,,,,3,1,repositoryam,Green,,,
33,2-s2.0-85082526381,10.1186/s13640-020-0492-x,,,Robust head pose estimation based on key frames for human-machine interaction,ar,Article,Madrigal F.,,Laboratoire d'Analyse et d'Architecture des Systemes,Toulouse,France,,,,,2020-12-01,1 December 2020,Eurasip Journal on Image and Video Processing,16875176,5200152707,16875281,Journal,2020,1,13,,,,6,1,repositoryam,Green,,,
34,2-s2.0-85075463529,10.1080/00207543.2019.1693654,,,Mixed-integer/linear and constraint programming approaches for activity scheduling in a nuclear research facility,ar,Article,Polo-Mejía O.,,Université Fédérale Toulouse Midi-Pyrénées;CEA Cadarache,Toulouse;Saint Paul lez Durance,France;France,,,,,2020-12-01,December 2020,International Journal of Production Research,00207543,27656,1366588X,Journal,58,23,,7149-7166,,,3,0,repositoryam,Green,,,
35,2-s2.0-85096889489,10.1021/acssensors.0c01463,,32975110,MEMS Biosensors and COVID-19: Missed Opportunity,re,Review,Leïchlé T.,,Université Fédérale Toulouse Midi-Pyrénées;GT-CNRS UMI 2958,Toulouse;Metz,France;France,,,,,2020-11-25,25 November 2020,ACS Sensors,,21100824897,23793694,Journal,5,11,,3297-3305,,,12,0,repositoryam,Green,,,
36,2-s2.0-85090992200,10.1002/rnc.5185,,,Observer-based event-triggered control for systems with slope-restricted nonlinearities,ar,Article,Moreira L.G.,,Instituto Federal de Educação,Petrolina,Brazil,,,,,2020-11-25,25 November 2020,International Journal of Robust and Nonlinear Control,10498923,17987,10991239,Journal,30,17,,7409-7428,,,2,0,repositoryam,Green,,,
37,2-s2.0-85089870587,10.1002/rnc.5158,,,Robust switching control design for uncertain discrete-time switched affine systems,ar,Article,Albea Sanchez C.,,Universite Paul Sabatier Toulouse III,Toulouse,France,,,,,2020-11-25,25 November 2020,International Journal of Robust and Nonlinear Control,10498923,17987,10991239,Journal,30,17,,7089-7102,,,4,0,repositoryam,Green,,,
38,2-s2.0-85099730890,10.1109/NCA51143.2020.9306726,,,Hardware-Performance-Counters-based anomaly detection in massively deployed smart industrial devices,cp,Conference Paper,Bourdon M.,,Laboratoire d'Analyse et d'Architecture des Systemes,Toulouse,France,,,,,2020-11-24,24 November 2020,"2020 IEEE 19th International Symposium on Network Computing and Applications, NCA 2020",,21101080938,,Conference Proceeding,,,9306726,,,,0,0,repositoryam,Green,,,
39,2-s2.0-85099724907,10.1109/NCA51143.2020.9306739,,,Deep Reinforcement Learning for Energy-Efficient Task Scheduling in SDN-based IoT Network,cp,Conference Paper,Sellami B.,,"Université de Tunis El Manar, Faculté des Sciences de Tunis",Tunis,Tunisia,,,,,2020-11-24,24 November 2020,"2020 IEEE 19th International Symposium on Network Computing and Applications, NCA 2020",,21101080938,,Conference Proceeding,,,9306739,,,,1,0,,,,,
40,2-s2.0-85099472037,10.1109/ICECS49266.2020.9294794,,,N-path frequency down-converter modeling and experimental operating principle validation,cp,Conference Paper,Labrunee P.,,Institut National Polytechnique de Toulouse,Toulouse,France,,,,,2020-11-23,23 November 2020,"ICECS 2020 - 27th IEEE International Conference on Electronics, Circuits and Systems, Proceedings",,21101033916,,Conference Proceeding,,,9294794,,,,0,0,,,,,
41,2-s2.0-85096588706,10.1021/acs.jpcc.0c08381,,,On the UV-Visible Light Synergetic Mechanisms in Au/TiO<inf>2</inf>Hybrid Model Nanostructures Achieving Photoreduction of Water,ar,Article,Mendoza-Diaz M.I.,,Université Fédérale Toulouse Midi-Pyrénées,Toulouse,France,,,,,2020-11-19,19 November 2020,Journal of Physical Chemistry C,19327447,5200153123,19327455,Journal,124,46,,25421-25430,,,2,0,repositoryam,Green,,,
