,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
25,2-s2.0-85100844121,10.1109/EPEC48502.2020.9319919,,,Robust H∞ decentralized control design for HVDC link embedded in a large-scale AC grid,cp,Conference Paper,Ngo H.T.,,Laboratoire des Sciences du Numérique de Nantes,Nantes,France,,,,,2020-11-09,9 November 2020,"2020 IEEE Electric Power and Energy Conference, EPEC 2020",,21101037902,,Conference Proceeding,,,9319919,,,,0,0,repositoryam,Green,,,
26,2-s2.0-85100839496,10.1109/EPEC48502.2020.9320068,,,Robust H<inf>∞</inf>Dynamic Output-feedback Control of Power Oscillation Damped via VSC-HVDC Transmission Systems,cp,Conference Paper,Xing Y.,,Laboratoire des Sciences du Numérique de Nantes,Nantes,France,,,,,2020-11-09,9 November 2020,"2020 IEEE Electric Power and Energy Conference, EPEC 2020",,21101037902,,Conference Proceeding,,,9320068,,,,0,0,repositoryam,Green,,,
27,2-s2.0-85099290081,10.1109/IPTA50016.2020.9286611,,,Semantic image segmentation based on spatial relationships and inexact graph matching,cp,Conference Paper,Chopin J.,,Universite d'Angers,Angers,France,,,,,2020-11-09,9 November 2020,"2020 10th International Conference on Image Processing Theory, Tools and Applications, IPTA 2020",,21101033874,,Conference Proceeding,,,9286611,,,,1,0,repositoryam,Green,,,
28,2-s2.0-85086452717,10.1016/j.jde.2020.06.007,S0022039620303211,,L<sup>p</sup>-asymptotic stability analysis of a 1D wave equation with a nonlinear damping,ar,Article,Chitour Y.,,Laboratoire des Signaux et Systèmes,Gif-sur-Yvette,France,,,,,2020-11-05,5 November 2020,Journal of Differential Equations,00220396,23874,10902732,Journal,269,10,,8107-8131,,,9,1,repositoryam,Green,,,
29,2-s2.0-85099782007,10.1109/AICCSA50499.2020.9316502,,,Distributed Contextualization of Biomedical Data: A Case Study in Precision Medicine,cp,Conference Paper,Sayadi S.,,Laboratoire des Sciences du Numérique de Nantes;Université de Nantes,Nantes;Nantes,France;France,,,,,2020-11-01,November 2020,"Proceedings of IEEE/ACS International Conference on Computer Systems and Applications, AICCSA",21615322,21100198533,21615330,Conference Proceeding,2020-November,,9316502,,,,2,0,repositoryam,Green,,,
30,2-s2.0-85099776256,10.1109/AICCSA50499.2020.9316536,,,BCTMark: A Framework for Benchmarking Blockchain Technologies,cp,Conference Paper,Saingre D.,,IMT Atlantique,Nantes,France,,,,,2020-11-01,November 2020,"Proceedings of IEEE/ACS International Conference on Computer Systems and Applications, AICCSA",21615322,21100198533,21615330,Conference Proceeding,2020-November,,9316536,,,,3,0,repositoryam,Green,,,
31,2-s2.0-85099453787,10.1109/iThings-GreenCom-CPSCom-SmartData-Cybermatics50389.2020.00065,,,Energy-aware Aperiodic Task Servers for Firm Real-time Energy harvesting Systems,cp,Conference Paper,Audrey Q.,,Université de Nantes,Nantes,France,,,,,2020-11-01,November 2020,"Proceedings - IEEE Congress on Cybermatics: 2020 IEEE International Conferences on Internet of Things, iThings 2020, IEEE Green Computing and Communications, GreenCom 2020, IEEE Cyber, Physical and Social Computing, CPSCom 2020 and IEEE Smart Data, SmartData 2020",,21101033918,,Conference Proceeding,,,9291550,310-317,,,0,0,,,,,
32,2-s2.0-85095759559,10.3390/s20216282,,33158198,Three-dimensional microwave imaging: Fast and accurate computations with block resolution algorithms,ar,Article,Friedrich C.,,Ecole Centrale de Nantes;Polytechnique Montréal,Nantes;Montreal,France;Canada,,,,,2020-11-01,1 November 2020,Sensors (Switzerland),14248220,130124,,Journal,20,21,6282,1-20,,,1,1,repositoryam,Green,,,
33,2-s2.0-85090363086,10.1016/j.cie.2020.106794,S0360835220305015,,A hybrid genetic algorithm for a multilevel assembly replenishment planning problem with stochastic lead times,ar,Article,Ben-Ammar O.,,Université Clermont Auvergne,Clermont-Ferrand,France,,,,,2020-11-01,November 2020,Computers and Industrial Engineering,03608352,18164,,Journal,149,,106794,,,,5,1,repositoryam,Green,,,
34,2-s2.0-85090056424,10.1016/j.robot.2020.103602,S0921889020304425,,"Comparative study of self tuning, adaptive and multiplexing FTC strategies for successive failures in an Octorotor UAV",ar,Article,Hamadi H.,,Université Libanaise;Sorbonne Universite,Beirut;Paris,Lebanon;France,,,,,2020-11-01,November 2020,Robotics and Autonomous Systems,09218890,18079,,Journal,133,,103602,,,,3,0,repositoryam,Green,,,
